time_stamp,humidity_a,humidity_b,temperature_a,temperature_b,pressure_a,pressure_b,pm2.5_atm_a,pm2.5_atm_b
2025-08-01T00:00:09-07:00,59,59,72,72,1005.12,1005.12,1.4,1.5
2025-08-01T00:02:08-07:00,58,58,73,73,1005.14,1005.14,1.3,1.7
2025-08-01T00:04:08-07:00,58,58,73,73,1005.16,1005.16,2.1,1.5
2025-08-01T00:06:08-07:00,57,57,74,74,1005.17,1005.17,1.2,1.5
2025-08-01T00:08:09-07:00,58,58,73,73,1005.18,1005.18,1.4,1.7
2025-08-01T00:10:09-07:00,58,58,73,73,1005.18,1005.18,1.2,1.5
2025-08-01T00:12:08-07:00,59,59,72,72,1005.2,1005.2,1.4,1.2
2025-08-01T00:14:08-07:00,59,59,73,73,1005.2,1005.2,1.3,1.6
2025-08-01T00:16:08-07:00,59,59,72,72,1005.21,1005.21,1.3,1.6
2025-08-01T00:18:08-07:00,59,59,73,73,1005.25,1005.25,1,1
2025-08-01T00:20:08-07:00,59,59,73,73,1005.27,1005.27,1.4,1.6
2025-08-01T00:22:08-07:00,58,58,73,73,1005.28,1005.28,1.2,1.3
2025-08-01T00:24:08-07:00,58,58,73,73,1005.31,1005.31,0.9,1.4
2025-08-01T00:26:09-07:00,58,58,73,73,1005.34,1005.34,1.2,1.5
2025-08-01T00:28:08-07:00,59,59,72,72,1005.41,1005.41,1.3,1.4
2025-08-01T00:30:08-07:00,59,59,72,72,1005.38,1005.38,0.9,1.6
2025-08-01T00:32:08-07:00,61,61,70,70,1005.37,1005.37,1.2,1.2
2025-08-01T00:34:08-07:00,62,62,70,70,1005.41,1005.41,1.7,1.5
2025-08-01T00:36:08-07:00,61,61,71,71,1005.47,1005.47,1,1.1
2025-08-01T00:38:08-07:00,61,61,71,71,1005.48,1005.48,1.5,0.7
2025-08-01T00:40:08-07:00,60,60,71,71,1005.48,1005.48,1.4,1.6
2025-08-01T00:42:08-07:00,61,61,70,70,1005.49,1005.49,0.9,1.1
2025-08-01T00:44:08-07:00,62,62,70,70,1005.49,1005.49,1.5,1
2025-08-01T00:46:08-07:00,62,62,70,70,1005.53,1005.53,0.8,1.3
2025-08-01T00:48:08-07:00,62,62,70,70,1005.53,1005.53,1.2,1
2025-08-01T00:50:08-07:00,63,63,70,70,1005.52,1005.52,1,1.2
2025-08-01T00:52:08-07:00,62,62,71,71,1005.54,1005.54,1.2,1.2
2025-08-01T00:54:08-07:00,62,62,71,71,1005.54,1005.54,2,1
2025-08-01T00:56:08-07:00,62,62,70,70,1005.52,1005.52,0.9,1.5
2025-08-01T00:58:09-07:00,62,62,70,70,1005.53,1005.53,1.1,1.2
2025-08-01T01:00:08-07:00,63,63,70,70,1005.57,1005.57,1.2,1.3
2025-08-01T01:02:09-07:00,63,63,69,69,1005.62,1005.62,1,1.3
2025-08-01T01:04:09-07:00,63,63,70,70,1005.63,1005.63,1.5,1.2
2025-08-01T01:06:09-07:00,63,63,70,70,1005.63,1005.63,1.2,1.3
2025-08-01T01:08:09-07:00,62,62,71,71,1005.68,1005.68,1.2,1
2025-08-01T01:10:09-07:00,61,61,71,71,1005.69,1005.69,0.8,0.9
