"Plot Title: 21223139"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 21223139, SEN S/N: 21223139)","Coupler Attached (LGR S/N: 21223139)","Coupler Detached (LGR S/N: 21223139)","Host Connected (LGR S/N: 21223139)","Stopped (LGR S/N: 21223139)","End Of File (LGR S/N: 21223139)"
1,08/12/22 11:00:00 AM,20.901,,,,,
2,08/12/22 12:00:00 PM,22.812,,,,,
3,08/12/22 01:00:00 PM,23.388,,,,,
4,08/12/22 02:00:00 PM,23.869,,,,,
5,08/12/22 03:00:00 PM,24.641,,,,,
6,08/12/22 04:00:00 PM,24.351,,,,,
7,08/12/22 05:00:00 PM,23.484,,,,,
8,08/12/22 06:00:00 PM,23.004,,,,,
9,08/12/22 07:00:00 PM,20.710,,,,,
10,08/12/22 08:00:00 PM,19.187,,,,,
11,08/12/22 09:00:00 PM,18.331,,,,,
12,08/12/22 10:00:00 PM,17.570,,,,,
13,08/12/22 11:00:00 PM,16.903,,,,,
14,08/13/22 12:00:00 AM,16.618,,,,,
15,08/13/22 01:00:00 AM,17.094,,,,,
16,08/13/22 02:00:00 AM,17.189,,,,,
17,08/13/22 03:00:00 AM,17.189,,,,,
18,08/13/22 04:00:00 AM,17.094,,,,,
19,08/13/22 05:00:00 AM,17.094,,,,,
20,08/13/22 06:00:00 AM,16.999,,,,,
21,08/13/22 07:00:00 AM,17.094,,,,,
22,08/13/22 08:00:00 AM,17.379,,,,,
23,08/13/22 09:00:00 AM,18.331,,,,,
24,08/13/22 10:00:00 AM,20.043,,,,,
25,08/13/22 11:00:00 AM,20.138,,,,,
26,08/13/22 12:00:00 PM,20.996,,,,,
27,08/13/22 01:00:00 PM,21.282,,,,,
28,08/13/22 02:00:00 PM,21.951,,,,,
29,08/13/22 03:00:00 PM,23.196,,,,,
30,08/13/22 04:00:00 PM,23.581,,,,,
31,08/13/22 05:00:00 PM,23.677,,,,,
32,08/13/22 06:00:00 PM,23.100,,,,,
33,08/13/22 07:00:00 PM,21.664,,,,,
34,08/13/22 08:00:00 PM,20.615,,,,,
35,08/13/22 09:00:00 PM,19.377,,,,,
36,08/13/22 10:00:00 PM,18.236,,,,,
37,08/13/22 11:00:00 PM,16.999,,,,,
38,08/14/22 12:00:00 AM,16.332,,,,,
39,08/14/22 01:00:00 AM,15.473,,,,,
40,08/14/22 02:00:00 AM,14.900,,,,,
41,08/14/22 03:00:00 AM,14.325,,,,,
42,08/14/22 04:00:00 AM,13.654,,,,,
43,08/14/22 05:00:00 AM,13.173,,,,,
44,08/14/22 06:00:00 AM,12.787,,,,,
45,08/14/22 07:00:00 AM,12.883,,,,,
46,08/14/22 08:00:00 AM,15.569,,,,,
47,08/14/22 09:00:00 AM,17.760,,,,,
48,08/14/22 10:00:00 AM,19.662,,,,,
49,08/14/22 11:00:00 AM,21.091,,,,,
50,08/14/22 12:00:00 PM,22.333,,,,,
51,08/14/22 01:00:00 PM,23.869,,,,,
52,08/14/22 02:00:00 PM,24.931,,,,,
53,08/14/22 03:00:00 PM,25.902,,,,,
54,08/14/22 04:00:00 PM,26.390,,,,,
55,08/14/22 05:00:00 PM,26.879,,,,,
56,08/14/22 06:00:00 PM,26.390,,,,,
57,08/14/22 07:00:00 PM,25.416,,,,,
58,08/14/22 08:00:00 PM,24.641,,,,,
59,08/14/22 09:00:00 PM,22.908,,,,,
60,08/14/22 10:00:00 PM,21.664,,,,,
61,08/14/22 11:00:00 PM,19.187,,,,,
62,08/15/22 12:00:00 AM,17.950,,,,,
63,08/15/22 01:00:00 AM,18.236,,,,,
64,08/15/22 02:00:00 AM,16.237,,,,,
65,08/15/22 03:00:00 AM,15.664,,,,,
66,08/15/22 04:00:00 AM,14.900,,,,,
67,08/15/22 05:00:00 AM,14.230,,,,,
68,08/15/22 06:00:00 AM,13.461,,,,,
69,08/15/22 07:00:00 AM,14.038,,,,,
70,08/15/22 08:00:00 AM,16.141,,,,,
