"Plot Title: 21223127"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 21223127, SEN S/N: 21223127)","Coupler Attached (LGR S/N: 21223127)","Coupler Detached (LGR S/N: 21223127)","Host Connected (LGR S/N: 21223127)","Stopped (LGR S/N: 21223127)","End Of File (LGR S/N: 21223127)"
1,08/15/22 02:00:00 PM,27.370,,,,,
2,08/15/22 03:00:00 PM,27.961,,,,,
3,08/15/22 04:00:00 PM,29.352,,,,,
4,08/15/22 05:00:00 PM,29.752,,,,,
5,08/15/22 06:00:00 PM,29.652,,,,,
6,08/15/22 07:00:00 PM,28.258,,,,,
7,08/15/22 08:00:00 PM,25.416,,,,,
8,08/15/22 09:00:00 PM,23.677,,,,,
9,08/15/22 10:00:00 PM,21.855,,,,,
10,08/15/22 11:00:00 PM,20.234,,,,,
11,08/16/22 12:00:00 AM,19.187,,,,,
12,08/16/22 01:00:00 AM,17.855,,,,,
13,08/16/22 02:00:00 AM,17.475,,,,,
14,08/16/22 03:00:00 AM,16.999,,,,,
15,08/16/22 04:00:00 AM,16.523,,,,,
16,08/16/22 05:00:00 AM,16.046,,,,,
17,08/16/22 06:00:00 AM,15.855,,,,,
18,08/16/22 07:00:00 AM,16.141,,,,,
19,08/16/22 08:00:00 AM,16.237,,,,,
20,08/16/22 09:00:00 AM,16.618,,,,,
21,08/16/22 10:00:00 AM,18.521,,,,,
22,08/16/22 11:00:00 AM,20.519,,,,,
23,08/16/22 12:00:00 PM,22.142,,,,,
24,08/16/22 01:00:00 PM,23.677,,,,,
25,08/16/22 02:00:00 PM,25.222,,,,,
26,08/16/22 03:00:00 PM,27.665,,,,,
27,08/16/22 04:00:00 PM,27.961,,,,,
28,08/16/22 05:00:00 PM,28.456,,,,,
29,08/16/22 06:00:00 PM,28.258,,,,,
30,08/16/22 07:00:00 PM,27.272,,,,,
31,08/16/22 08:00:00 PM,25.416,,,,,
32,08/16/22 09:00:00 PM,23.869,,,,,
33,08/16/22 10:00:00 PM,22.812,,,,,
34,08/16/22 11:00:00 PM,22.333,,,,,
35,08/17/22 12:00:00 AM,21.569,,,,,
36,08/17/22 01:00:00 AM,20.519,,,,,
37,08/17/22 02:00:00 AM,19.187,,,,,
38,08/17/22 03:00:00 AM,18.521,,,,,
39,08/17/22 04:00:00 AM,17.665,,,,,
40,08/17/22 05:00:00 AM,16.999,,,,,
41,08/17/22 06:00:00 AM,16.332,,,,,
42,08/17/22 07:00:00 AM,16.332,,,,,
43,08/17/22 08:00:00 AM,18.996,,,,,
44,08/17/22 09:00:00 AM,21.760,,,,,
45,08/17/22 10:00:00 AM,23.292,,,,,
46,08/17/22 11:00:00 AM,24.351,,,,,
47,08/17/22 12:00:00 PM,26.097,,,,,
48,08/17/22 01:00:00 PM,27.468,,,,,
49,08/17/22 02:00:00 PM,28.555,,,,,
50,08/17/22 03:00:00 PM,29.652,,,,,
51,08/17/22 04:00:00 PM,31.064,,,,,
52,08/17/22 05:00:00 PM,31.064,,,,,
53,08/17/22 06:00:00 PM,31.064,,,,,
54,08/17/22 07:00:00 PM,30.963,,,,,
55,08/17/22 08:00:00 PM,29.252,,,,,
56,08/17/22 09:00:00 PM,27.173,,,,,
57,08/17/22 10:00:00 PM,26.585,,,,,
58,08/17/22 11:00:00 PM,26.097,,,,,
59,08/18/22 12:00:00 AM,24.738,,,,,
60,08/18/22 01:00:00 AM,24.158,,,,,
61,08/18/22 02:00:00 AM,23.869,,,,,
62,08/18/22 03:00:00 AM,24.062,,,,,
63,08/18/22 04:00:00 AM,23.484,,,,,
64,08/18/22 05:00:00 AM,23.100,,,,,
65,08/18/22 06:00:00 AM,22.717,,,,,
66,08/18/22 07:00:00 AM,22.046,,,,,
67,08/18/22 08:00:00 AM,22.238,,,,,
68,08/18/22 09:00:00 AM,23.581,,,,,
69,08/18/22 10:00:00 AM,25.416,,,,,
70,08/18/22 11:00:00 AM,27.370,,,,,
71,08/18/22 12:00:00 PM,29.152,,,,,
72,08/18/22 01:00:00 PM,29.252,,,,,
73,08/18/22 02:00:00 PM,29.352,,,,,
74,08/18/22 03:00:00 PM,30.255,,,,,
75,08/18/22 04:00:00 PM,29.953,,,,,
76,08/18/22 05:00:00 PM,31.370,,,,,
77,08/18/22 06:00:00 PM,31.064,,,,,
78,08/18/22 07:00:00 PM,31.778,,,,,
79,08/18/22 08:00:00 PM,29.953,,,,,
80,08/18/22 09:00:00 PM,28.953,,,,,
81,08/18/22 10:00:00 PM,28.159,,,,,
82,08/18/22 11:00:00 PM,27.272,,,,,
83,08/19/22 12:00:00 AM,26.879,,,,,
84,08/19/22 01:00:00 AM,25.805,,,,,
85,08/19/22 02:00:00 AM,24.738,,,,,
86,08/19/22 03:00:00 AM,23.004,,,,,
87,08/19/22 04:00:00 AM,21.091,,,,,
88,08/19/22 05:00:00 AM,19.758,,,,,
89,08/19/22 06:00:00 AM,18.901,,,,,
90,08/19/22 07:00:00 AM,18.711,,,,,
91,08/19/22 08:00:00 AM,18.426,,,,,
92,08/19/22 09:00:00 AM,18.616,,,,,
93,08/19/22 10:00:00 AM,18.996,,,,,
94,08/19/22 11:00:00 AM,19.472,,,,,
95,08/19/22 12:00:00 PM,21.378,,,,,
96,08/19/22 01:00:00 PM,23.292,,,,,
97,08/19/22 02:00:00 PM,24.835,,,,,
98,08/19/22 03:00:00 PM,26.488,,,,,
99,08/19/22 04:00:00 PM,26.292,,,,,
100,08/19/22 05:00:00 PM,25.222,,,,,
101,08/19/22 06:00:00 PM,25.319,,,,,
102,08/19/22 07:00:00 PM,24.255,,,,,
103,08/19/22 08:00:00 PM,22.525,,,,,
104,08/19/22 09:00:00 PM,21.091,,,,,
105,08/19/22 10:00:00 PM,20.138,,,,,
106,08/19/22 11:00:00 PM,19.187,,,,,
107,08/20/22 12:00:00 AM,18.616,,,,,
108,08/20/22 01:00:00 AM,18.331,,,,,
109,08/20/22 02:00:00 AM,18.140,,,,,
110,08/20/22 03:00:00 AM,18.045,,,,,
111,08/20/22 04:00:00 AM,17.760,,,,,
112,08/20/22 05:00:00 AM,17.665,,,,,
113,08/20/22 06:00:00 AM,17.379,,,,,
114,08/20/22 07:00:00 AM,17.379,,,,,
115,08/20/22 08:00:00 AM,17.665,,,,,
116,08/20/22 09:00:00 AM,18.236,,,,,
117,08/20/22 10:00:00 AM,18.901,,,,,
118,08/20/22 11:00:00 AM,19.758,,,,,
119,08/20/22 12:00:00 PM,20.805,,,,,
120,08/20/22 01:00:00 PM,21.664,,,,,
121,08/20/22 02:00:00 PM,23.196,,,,,
122,08/20/22 03:00:00 PM,24.448,,,,,
123,08/20/22 04:00:00 PM,26.390,,,,,
124,08/20/22 05:00:00 PM,26.683,,,,,
125,08/20/22 06:00:00 PM,26.879,,,,,
126,08/20/22 07:00:00 PM,25.902,,,,,
127,08/20/22 08:00:00 PM,22.908,,,,,
128,08/20/22 09:00:00 PM,21.187,,,,,
129,08/20/22 10:00:00 PM,20.138,,,,,
130,08/20/22 11:00:00 PM,18.996,,,,,
131,08/21/22 12:00:00 AM,18.616,,,,,
