"Plot Title: 21119940"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 21119940, SEN S/N: 21119940)","Coupler Attached (LGR S/N: 21119940)","Host Connected (LGR S/N: 21119940)","Coupler Detached (LGR S/N: 21119940)","Stopped (LGR S/N: 21119940)","End Of File (LGR S/N: 21119940)"
1,09/24/21 01:00:00 PM,20.519,,,,,
2,09/24/21 02:00:00 PM,28.060,,,,,
3,09/24/21 03:00:00 PM,33.014,,,,,
4,09/24/21 04:00:00 PM,35.864,,,,,
5,09/24/21 05:00:00 PM,28.258,,,,,
6,09/24/21 06:00:00 PM,22.812,,,,,
7,09/24/21 07:00:00 PM,20.710,,,,,
8,09/24/21 08:00:00 PM,19.282,,,,,
9,09/24/21 09:00:00 PM,18.426,,,,,
10,09/24/21 10:00:00 PM,17.475,,,,,
11,09/24/21 11:00:00 PM,16.523,,,,,
12,09/25/21 12:00:00 AM,14.900,,,,,
13,09/25/21 01:00:00 AM,14.325,,,,,
14,09/25/21 02:00:00 AM,13.076,,,,,
15,09/25/21 03:00:00 AM,12.401,,,,,
16,09/25/21 04:00:00 AM,11.916,,,,,
17,09/25/21 05:00:00 AM,11.528,,,,,
18,09/25/21 06:00:00 AM,10.944,,,,,
19,09/25/21 07:00:00 AM,10.553,,,,,
20,09/25/21 08:00:00 AM,11.819,,,,,
21,09/25/21 09:00:00 AM,15.378,,,,,
22,09/25/21 10:00:00 AM,18.901,,,,,
23,09/25/21 11:00:00 AM,21.664,,,,,
24,09/25/21 12:00:00 PM,23.484,,,,,
25,09/25/21 01:00:00 PM,26.195,,,,,
26,09/25/21 02:00:00 PM,33.430,,,,,
27,09/25/21 03:00:00 PM,36.620,,,,,
28,09/25/21 04:00:00 PM,37.384,,,,,
29,09/25/21 05:00:00 PM,33.639,,,,,
30,09/25/21 06:00:00 PM,23.004,,,,,
31,09/25/21 07:00:00 PM,19.567,,,,,
32,09/25/21 08:00:00 PM,17.665,,,,,
33,09/25/21 09:00:00 PM,16.713,,,,,
34,09/25/21 10:00:00 PM,15.473,,,,,
35,09/25/21 11:00:00 PM,13.461,,,,,
36,09/26/21 12:00:00 AM,13.173,,,,,
37,09/26/21 01:00:00 AM,12.980,,,,,
38,09/26/21 02:00:00 AM,12.497,,,,,
39,09/26/21 03:00:00 AM,13.076,,,,,
40,09/26/21 04:00:00 AM,12.110,,,,,
41,09/26/21 05:00:00 AM,12.401,,,,,
42,09/26/21 06:00:00 AM,13.365,,,,,
43,09/26/21 07:00:00 AM,13.654,,,,,
44,09/26/21 08:00:00 AM,14.421,,,,,
45,09/26/21 09:00:00 AM,15.473,,,,,
46,09/26/21 10:00:00 AM,18.140,,,,,
47,09/26/21 11:00:00 AM,18.806,,,,,
48,09/26/21 12:00:00 PM,22.621,,,,,
49,09/26/21 01:00:00 PM,19.853,,,,,
50,09/26/21 02:00:00 PM,20.043,,,,,
51,09/26/21 03:00:00 PM,17.284,,,,,
52,09/26/21 04:00:00 PM,15.473,,,,,
53,09/26/21 05:00:00 PM,15.187,,,,,
54,09/26/21 06:00:00 PM,14.709,,,,,
55,09/26/21 07:00:00 PM,13.654,,,,,
56,09/26/21 08:00:00 PM,13.942,,,,,
57,09/26/21 09:00:00 PM,14.325,,,,,
58,09/26/21 10:00:00 PM,14.804,,,,,
59,09/26/21 11:00:00 PM,15.951,,,,,
60,09/27/21 12:00:00 AM,15.760,,,,,
61,09/27/21 01:00:00 AM,15.473,,,,,
62,09/27/21 02:00:00 AM,15.282,,,,,
63,09/27/21 03:00:00 AM,14.038,,,,,
64,09/27/21 04:00:00 AM,13.558,,,,,
65,09/27/21 05:00:00 AM,13.173,,,,,
66,09/27/21 06:00:00 AM,11.819,,,,,
67,09/27/21 07:00:00 AM,11.819,,,,,
68,09/27/21 08:00:00 AM,13.173,,,,,
69,09/27/21 09:00:00 AM,14.421,,,,,
70,09/27/21 10:00:00 AM,12.883,,,,,
71,09/27/21 11:00:00 AM,13.846,,,,,
72,09/27/21 12:00:00 PM,13.173,,,,,
73,09/27/21 01:00:00 PM,14.038,,,,,
74,09/27/21 02:00:00 PM,16.523,,,,,
75,09/27/21 03:00:00 PM,16.237,,,,,
76,09/27/21 04:00:00 PM,16.523,,,,,
77,09/27/21 05:00:00 PM,18.901,,,,,
78,09/27/21 06:00:00 PM,15.760,,,,,
79,09/27/21 07:00:00 PM,10.748,,,,,
80,09/27/21 08:00:00 PM,11.334,,,,,
81,09/27/21 09:00:00 PM,10.944,,,,,
82,09/27/21 10:00:00 PM,10.455,,,,,
83,09/27/21 11:00:00 PM,11.528,,,,,
84,09/28/21 12:00:00 AM,11.236,,,,,
85,09/28/21 01:00:00 AM,11.139,,,,,
86,09/28/21 02:00:00 AM,10.944,,,,,
87,09/28/21 03:00:00 AM,10.259,,,,,
88,09/28/21 04:00:00 AM,9.965,,,,,
89,09/28/21 05:00:00 AM,9.866,,,,,
90,09/28/21 06:00:00 AM,9.965,,,,,
91,09/28/21 07:00:00 AM,10.944,,,,,
92,09/28/21 08:00:00 AM,11.819,,,,,
93,09/28/21 09:00:00 AM,12.980,,,,,
94,09/28/21 10:00:00 AM,14.421,,,,,
95,09/28/21 11:00:00 AM,16.523,,,,,
96,09/28/21 12:00:00 PM,16.618,,,,,
97,09/28/21 01:00:00 PM,14.038,,,,,
98,09/28/21 02:00:00 PM,18.140,,,,,
99,09/28/21 03:00:00 PM,23.773,,,,,
100,09/28/21 04:00:00 PM,16.141,,,,,
101,09/28/21 05:00:00 PM,25.416,,,,,
102,09/28/21 06:00:00 PM,14.900,,,,,
103,09/28/21 07:00:00 PM,13.269,,,,,
104,09/28/21 08:00:00 PM,12.594,,,,,
105,09/28/21 09:00:00 PM,11.625,,,,,
106,09/28/21 10:00:00 PM,11.431,,,,,
107,09/28/21 11:00:00 PM,10.944,,,,,
108,09/29/21 12:00:00 AM,11.041,,,,,
109,09/29/21 01:00:00 AM,11.139,,,,,
110,09/29/21 02:00:00 AM,11.139,,,,,
111,09/29/21 03:00:00 AM,11.139,,,,,
112,09/29/21 04:00:00 AM,11.236,,,,,
113,09/29/21 05:00:00 AM,10.455,,,,,
114,09/29/21 06:00:00 AM,11.139,,,,,
115,09/29/21 07:00:00 AM,11.722,,,,,
116,09/29/21 08:00:00 AM,12.401,,,,,
117,09/29/21 09:00:00 AM,13.269,,,,,
118,09/29/21 10:00:00 AM,14.517,,,,,
119,09/29/21 11:00:00 AM,15.187,,,,,
120,09/29/21 12:00:00 PM,16.713,,,,,
121,09/29/21 01:00:00 PM,17.760,,,,,
122,09/29/21 02:00:00 PM,14.996,,,,,
123,09/29/21 03:00:00 PM,16.523,,,,,
124,09/29/21 04:00:00 PM,16.523,,,,,
125,09/29/21 05:00:00 PM,16.237,,,,,
126,09/29/21 06:00:00 PM,14.996,,,,,
127,09/29/21 07:00:00 PM,14.421,,,,,
128,09/29/21 08:00:00 PM,14.230,,,,,
129,09/29/21 09:00:00 PM,14.900,,,,,
130,09/29/21 10:00:00 PM,14.900,,,,,
131,09/29/21 11:00:00 PM,13.750,,,,,
132,09/30/21 12:00:00 AM,13.558,,,,,
133,09/30/21 01:00:00 AM,13.365,,,,,
134,09/30/21 02:00:00 AM,12.980,,,,,
135,09/30/21 03:00:00 AM,13.173,,,,,
136,09/30/21 04:00:00 AM,13.461,,,,,
137,09/30/21 05:00:00 AM,13.750,,,,,
138,09/30/21 06:00:00 AM,14.325,,,,,
139,09/30/21 07:00:00 AM,14.709,,,,,
140,09/30/21 08:00:00 AM,15.569,,,,,
141,09/30/21 09:00:00 AM,16.903,,,,,
142,09/30/21 10:00:00 AM,14.613,,,,,
143,09/30/21 11:00:00 AM,15.091,,,,,
144,09/30/21 12:00:00 PM,14.038,,,,,
145,09/30/21 01:00:00 PM,13.846,,,,,
146,09/30/21 02:00:00 PM,13.654,,,,,
147,09/30/21 03:00:00 PM,13.365,,,,,
148,09/30/21 04:00:00 PM,15.473,,,,,
149,09/30/21 05:00:00 PM,21.855,,,,,
150,09/30/21 06:00:00 PM,14.517,,,,,
151,09/30/21 07:00:00 PM,12.207,,,,,
152,09/30/21 08:00:00 PM,11.041,,,,,
153,09/30/21 09:00:00 PM,10.357,,,,,
154,09/30/21 10:00:00 PM,11.528,,,,,
