"Plot Title: 9768700"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9768700, SEN S/N: 9768700)","Bad Battery (LGR S/N: 9768700)","Coupler Attached (LGR S/N: 9768700)","Host Connected (LGR S/N: 9768700)","Stopped (LGR S/N: 9768700)","End Of File (LGR S/N: 9768700)"
1,10/04/21 03:00:00 PM,17.570,,,,,
2,10/04/21 04:00:00 PM,18.236,,,,,
3,10/04/21 05:00:00 PM,17.189,,,,,
4,10/04/21 06:00:00 PM,16.046,,,,,
5,10/04/21 07:00:00 PM,13.558,,,,,
6,10/04/21 08:00:00 PM,12.401,,,,,
7,10/04/21 09:00:00 PM,12.497,,,,,
8,10/04/21 10:00:00 PM,11.819,,,,,
9,10/04/21 11:00:00 PM,11.431,,,,,
10,10/05/21 12:00:00 AM,10.553,,,,,
11,10/05/21 01:00:00 AM,10.455,,,,,
12,10/05/21 02:00:00 AM,9.373,,,,,
13,10/05/21 03:00:00 AM,8.382,,,,,
14,10/05/21 04:00:00 AM,8.879,,,,,
15,10/05/21 05:00:00 AM,9.472,,,,,
16,10/05/21 06:00:00 AM,10.748,,,,,
17,10/05/21 07:00:00 AM,11.139,,,,,
18,10/05/21 08:00:00 AM,11.625,,,,,
19,10/05/21 09:00:00 AM,12.207,,,,,
20,10/05/21 10:00:00 AM,12.401,,,,,
21,10/05/21 11:00:00 AM,12.980,,,,,
22,10/05/21 12:00:00 PM,13.461,,,,,
23,10/05/21 01:00:00 PM,13.269,,,,,
24,10/05/21 02:00:00 PM,15.091,,,,,
25,10/05/21 03:00:00 PM,13.846,,,,,
26,10/05/21 04:00:00 PM,13.846,,,,,
27,10/05/21 05:00:00 PM,14.517,,,,,
28,10/05/21 06:00:00 PM,13.269,,,,,
29,10/05/21 07:00:00 PM,11.236,,,,,
30,10/05/21 08:00:00 PM,10.357,,,,,
31,10/05/21 09:00:00 PM,9.275,,,,,
32,10/05/21 10:00:00 PM,8.581,,,,,
33,10/05/21 11:00:00 PM,7.280,,,,,
34,10/06/21 12:00:00 AM,7.782,,,,,
35,10/06/21 01:00:00 AM,7.280,,,,,
36,10/06/21 02:00:00 AM,8.581,,,,,
37,10/06/21 03:00:00 AM,7.882,,,,,
38,10/06/21 04:00:00 AM,8.282,,,,,
39,10/06/21 05:00:00 AM,7.481,,,,,
40,10/06/21 06:00:00 AM,8.382,,,,,
41,10/06/21 07:00:00 AM,8.581,,,,,
42,10/06/21 08:00:00 AM,8.382,,,,,
43,10/06/21 09:00:00 AM,10.846,,,,,
44,10/06/21 10:00:00 AM,13.654,,,,,
45,10/06/21 11:00:00 AM,14.230,,,,,
46,10/06/21 12:00:00 PM,11.916,,,,,
47,10/06/21 01:00:00 PM,13.269,,,,,
48,10/06/21 02:00:00 PM,13.942,,,,,
49,10/06/21 03:00:00 PM,15.091,,,,,
50,10/06/21 04:00:00 PM,14.325,,,,,
51,10/06/21 05:00:00 PM,14.325,,,,,
52,10/06/21 06:00:00 PM,13.846,,,,,
53,10/06/21 07:00:00 PM,10.553,,,,,
54,10/06/21 08:00:00 PM,9.373,,,,,
55,10/06/21 09:00:00 PM,7.983,,,,,
56,10/06/21 10:00:00 PM,7.381,,,,,
57,10/06/21 11:00:00 PM,5.962,,,,,
58,10/07/21 12:00:00 AM,6.573,,,,,
59,10/07/21 01:00:00 AM,7.582,,,,,
60,10/07/21 02:00:00 AM,6.775,,,,,
61,10/07/21 03:00:00 AM,6.064,,,,,
62,10/07/21 04:00:00 AM,5.962,,,,,
63,10/07/21 05:00:00 AM,4.519,,,,,
64,10/07/21 06:00:00 AM,5.347,,,,,
65,10/07/21 07:00:00 AM,4.207,,,,,
66,10/07/21 08:00:00 AM,7.682,,,,,
67,10/07/21 09:00:00 AM,9.866,,,,,
68,10/07/21 10:00:00 AM,11.625,,,,,
69,10/07/21 11:00:00 AM,12.110,,,,,
70,10/07/21 12:00:00 PM,13.076,,,,,
71,10/07/21 01:00:00 PM,14.230,,,,,
72,10/07/21 02:00:00 PM,14.613,,,,,
73,10/07/21 03:00:00 PM,14.996,,,,,
74,10/07/21 04:00:00 PM,14.325,,,,,
75,10/07/21 05:00:00 PM,13.846,,,,,
76,10/07/21 06:00:00 PM,13.750,,,,,
77,10/07/21 07:00:00 PM,10.357,,,,,
78,10/07/21 08:00:00 PM,9.275,,,,,
79,10/07/21 09:00:00 PM,9.373,,,,,
80,10/07/21 10:00:00 PM,8.879,,,,,
81,10/07/21 11:00:00 PM,7.280,,,,,
82,10/08/21 12:00:00 AM,5.244,,,,,
83,10/08/21 01:00:00 AM,4.102,,,,,
84,10/08/21 02:00:00 AM,3.155,,,,,
85,10/08/21 03:00:00 AM,3.367,,,,,
86,10/08/21 04:00:00 AM,3.998,,,,,
87,10/08/21 05:00:00 AM,5.552,,,,,
88,10/08/21 06:00:00 AM,6.166,,,,,
89,10/08/21 07:00:00 AM,6.166,,,,,
90,10/08/21 08:00:00 AM,6.674,,,,,
91,10/08/21 09:00:00 AM,8.581,,,,,
92,10/08/21 10:00:00 AM,9.768,,,,,
93,10/08/21 11:00:00 AM,12.883,,,,,
94,10/08/21 12:00:00 PM,14.038,,,,,
95,10/08/21 01:00:00 PM,15.378,,,,,
96,10/08/21 02:00:00 PM,15.569,,,,,
97,10/08/21 03:00:00 PM,16.808,,,,,
98,10/08/21 04:00:00 PM,15.664,,,,,
99,10/08/21 05:00:00 PM,15.473,,,,,
100,10/08/21 06:00:00 PM,15.473,,,,,
101,10/08/21 07:00:00 PM,10.259,,,,,
102,10/08/21 08:00:00 PM,8.680,,,,,
103,10/08/21 09:00:00 PM,7.582,,,,,
104,10/08/21 10:00:00 PM,6.471,,,,,
105,10/08/21 11:00:00 PM,5.860,,,,,
106,10/09/21 12:00:00 AM,5.244,,,,,
107,10/09/21 01:00:00 AM,5.552,,,,,
108,10/09/21 02:00:00 AM,5.962,,,,,
109,10/09/21 03:00:00 AM,4.934,,,,,
110,10/09/21 04:00:00 AM,6.370,,,,,
111,10/09/21 05:00:00 AM,7.079,,,,,
112,10/09/21 06:00:00 AM,7.481,,,,,
113,10/09/21 07:00:00 AM,7.582,,,,,
114,10/09/21 08:00:00 AM,8.481,,,,,
115,10/09/21 09:00:00 AM,9.768,,,,,
