"Plot Title: 21119950"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 21119950, SEN S/N: 21119950)","Coupler Attached (LGR S/N: 21119950)","Coupler Detached (LGR S/N: 21119950)","Host Connected (LGR S/N: 21119950)","Stopped (LGR S/N: 21119950)","End Of File (LGR S/N: 21119950)"
1,09/24/21 01:00:00 PM,21.951,,,,,
2,09/24/21 02:00:00 PM,22.429,,,,,
3,09/24/21 03:00:00 PM,22.525,,,,,
4,09/24/21 04:00:00 PM,22.908,,,,,
5,09/24/21 05:00:00 PM,22.333,,,,,
6,09/24/21 06:00:00 PM,21.473,,,,,
7,09/24/21 07:00:00 PM,19.377,,,,,
8,09/24/21 08:00:00 PM,17.665,,,,,
9,09/24/21 09:00:00 PM,17.855,,,,,
10,09/24/21 10:00:00 PM,16.332,,,,,
11,09/24/21 11:00:00 PM,14.996,,,,,
12,09/25/21 12:00:00 AM,14.230,,,,,
13,09/25/21 01:00:00 AM,13.461,,,,,
14,09/25/21 02:00:00 AM,12.883,,,,,
15,09/25/21 03:00:00 AM,12.013,,,,,
16,09/25/21 04:00:00 AM,11.528,,,,,
17,09/25/21 05:00:00 AM,10.944,,,,,
18,09/25/21 06:00:00 AM,10.944,,,,,
19,09/25/21 07:00:00 AM,10.553,,,,,
20,09/25/21 08:00:00 AM,10.944,,,,,
21,09/25/21 09:00:00 AM,14.804,,,,,
22,09/25/21 10:00:00 AM,18.616,,,,,
23,09/25/21 11:00:00 AM,22.238,,,,,
24,09/25/21 12:00:00 PM,25.028,,,,,
25,09/25/21 01:00:00 PM,27.665,,,,,
26,09/25/21 02:00:00 PM,27.764,,,,,
27,09/25/21 03:00:00 PM,26.879,,,,,
28,09/25/21 04:00:00 PM,26.977,,,,,
29,09/25/21 05:00:00 PM,24.738,,,,,
30,09/25/21 06:00:00 PM,22.046,,,,,
31,09/25/21 07:00:00 PM,19.472,,,,,
32,09/25/21 08:00:00 PM,18.426,,,,,
33,09/25/21 09:00:00 PM,16.903,,,,,
34,09/25/21 10:00:00 PM,16.332,,,,,
35,09/25/21 11:00:00 PM,14.230,,,,,
36,09/26/21 12:00:00 AM,14.038,,,,,
37,09/26/21 01:00:00 AM,13.750,,,,,
38,09/26/21 02:00:00 AM,13.461,,,,,
39,09/26/21 03:00:00 AM,13.269,,,,,
40,09/26/21 04:00:00 AM,12.980,,,,,
