"Plot Title: 21223105"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 21223105, SEN S/N: 21223105)","Coupler Attached (LGR S/N: 21223105)","Host Connected (LGR S/N: 21223105)","Coupler Detached (LGR S/N: 21223105)","Stopped (LGR S/N: 21223105)","End Of File (LGR S/N: 21223105)"
1,08/15/22 02:00:00 PM,28.555,,,,,
2,08/15/22 03:00:00 PM,27.272,,,,,
3,08/15/22 04:00:00 PM,27.961,,,,,
4,08/15/22 05:00:00 PM,29.352,,,,,
5,08/15/22 06:00:00 PM,28.853,,,,,
6,08/15/22 07:00:00 PM,27.272,,,,,
7,08/15/22 08:00:00 PM,24.351,,,,,
8,08/15/22 09:00:00 PM,21.282,,,,,
9,08/15/22 10:00:00 PM,19.853,,,,,
10,08/15/22 11:00:00 PM,18.711,,,,,
11,08/16/22 12:00:00 AM,17.665,,,,,
12,08/16/22 01:00:00 AM,16.713,,,,,
13,08/16/22 02:00:00 AM,16.046,,,,,
14,08/16/22 03:00:00 AM,15.664,,,,,
15,08/16/22 04:00:00 AM,15.091,,,,,
16,08/16/22 05:00:00 AM,14.996,,,,,
17,08/16/22 06:00:00 AM,15.473,,,,,
18,08/16/22 07:00:00 AM,15.569,,,,,
19,08/16/22 08:00:00 AM,15.855,,,,,
20,08/16/22 09:00:00 AM,16.713,,,,,
21,08/16/22 10:00:00 AM,18.045,,,,,
22,08/16/22 11:00:00 AM,23.388,,,,,
23,08/16/22 12:00:00 PM,26.683,,,,,
24,08/16/22 01:00:00 PM,23.869,,,,,
25,08/16/22 02:00:00 PM,26.390,,,,,
26,08/16/22 03:00:00 PM,26.097,,,,,
27,08/16/22 04:00:00 PM,25.805,,,,,
28,08/16/22 05:00:00 PM,26.292,,,,,
29,08/16/22 06:00:00 PM,25.708,,,,,
30,08/16/22 07:00:00 PM,24.448,,,,,
31,08/16/22 08:00:00 PM,22.046,,,,,
32,08/16/22 09:00:00 PM,20.996,,,,,
33,08/16/22 10:00:00 PM,20.138,,,,,
34,08/16/22 11:00:00 PM,18.996,,,,,
35,08/17/22 12:00:00 AM,18.521,,,,,
36,08/17/22 01:00:00 AM,18.140,,,,,
37,08/17/22 02:00:00 AM,17.094,,,,,
38,08/17/22 03:00:00 AM,16.618,,,,,
39,08/17/22 04:00:00 AM,16.046,,,,,
40,08/17/22 05:00:00 AM,15.187,,,,,
41,08/17/22 06:00:00 AM,14.517,,,,,
42,08/17/22 07:00:00 AM,14.421,,,,,
43,08/17/22 08:00:00 AM,19.092,,,,,
44,08/17/22 09:00:00 AM,19.377,,,,,
45,08/17/22 10:00:00 AM,23.196,,,,,
46,08/17/22 11:00:00 AM,27.075,,,,,
47,08/17/22 12:00:00 PM,31.370,,,,,
48,08/17/22 01:00:00 PM,28.159,,,,,
49,08/17/22 02:00:00 PM,29.252,,,,,
50,08/17/22 03:00:00 PM,29.152,,,,,
51,08/17/22 04:00:00 PM,29.053,,,,,
52,08/17/22 05:00:00 PM,29.552,,,,,
53,08/17/22 06:00:00 PM,28.655,,,,,
54,08/17/22 07:00:00 PM,27.468,,,,,
55,08/17/22 08:00:00 PM,25.805,,,,,
56,08/17/22 09:00:00 PM,23.773,,,,,
57,08/17/22 10:00:00 PM,22.908,,,,,
58,08/17/22 11:00:00 PM,23.100,,,,,
59,08/18/22 12:00:00 AM,22.429,,,,,
60,08/18/22 01:00:00 AM,21.855,,,,,
61,08/18/22 02:00:00 AM,21.282,,,,,
62,08/18/22 03:00:00 AM,21.569,,,,,
63,08/18/22 04:00:00 AM,21.282,,,,,
64,08/18/22 05:00:00 AM,20.901,,,,,
65,08/18/22 06:00:00 AM,20.519,,,,,
66,08/18/22 07:00:00 AM,20.138,,,,,
67,08/18/22 08:00:00 AM,20.615,,,,,
68,08/18/22 09:00:00 AM,22.429,,,,,
69,08/18/22 10:00:00 AM,24.255,,,,,
70,08/18/22 11:00:00 AM,27.370,,,,,
71,08/18/22 12:00:00 PM,31.983,,,,,
72,08/18/22 01:00:00 PM,29.152,,,,,
73,08/18/22 02:00:00 PM,28.456,,,,,
74,08/18/22 03:00:00 PM,28.357,,,,,
75,08/18/22 04:00:00 PM,29.252,,,,,
76,08/18/22 05:00:00 PM,30.356,,,,,
77,08/18/22 06:00:00 PM,30.154,,,,,
78,08/18/22 07:00:00 PM,29.252,,,,,
79,08/18/22 08:00:00 PM,27.665,,,,,
80,08/18/22 09:00:00 PM,26.390,,,,,
81,08/18/22 10:00:00 PM,25.902,,,,,
82,08/18/22 11:00:00 PM,26.097,,,,,
83,08/19/22 12:00:00 AM,25.416,,,,,
84,08/19/22 01:00:00 AM,24.351,,,,,
85,08/19/22 02:00:00 AM,23.484,,,,,
86,08/19/22 03:00:00 AM,22.621,,,,,
87,08/19/22 04:00:00 AM,20.901,,,,,
88,08/19/22 05:00:00 AM,19.662,,,,,
89,08/19/22 06:00:00 AM,18.806,,,,,
90,08/19/22 07:00:00 AM,17.855,,,,,
91,08/19/22 08:00:00 AM,17.570,,,,,
92,08/19/22 09:00:00 AM,17.760,,,,,
93,08/19/22 10:00:00 AM,17.950,,,,,
94,08/19/22 11:00:00 AM,18.711,,,,,
95,08/19/22 12:00:00 PM,24.158,,,,,
96,08/19/22 01:00:00 PM,23.388,,,,,
97,08/19/22 02:00:00 PM,25.125,,,,,
98,08/19/22 03:00:00 PM,26.292,,,,,
